Symbol,Score,ENSG
NRAS,0.0001142022078061012,ENSG00000213281
FABP3,3.614837230706291e-05,ENSG00000121769
BGLAP,2.2111461775728673e-07,ENSG00000242252
ERN1,7.326211832237718e-05,ENSG00000178607
UQCRQ,0.00015443783748977984,ENSG00000164405
IGKV1D-12,7.297843240245651e-08,ENSG00000278857
NAPA,0.00027876315686373935,ENSG00000105402
FLRT2,5.8768893441881556e-06,ENSG00000185070
EPHA1,1.109167101115361e-05,ENSG00000146904
PTPRG,9.12448685061012e-06,ENSG00000144724
UBA1,0.0005604791563876645,ENSG00000130985
PCK1,2.0536760912198763e-05,ENSG00000124253
FGF9,5.875297802552096e-07,ENSG00000102678
EPHB3,1.5266141364041034e-05,ENSG00000182580
STX1B,6.709190180995786e-05,ENSG00000099365
SSTR4,1.7461194289230235e-06,ENSG00000132671
GDF1,6.031140976651837e-08,ENSG00000130283
SRC,0.00010138135586694153,ENSG00000197122
GRK5,1.8111639453872957e-05,ENSG00000198873
EPHA2,2.0859371584494638e-05,ENSG00000142627
EPHB4,2.5919459361504534e-05,ENSG00000196411
SDC4,3.139205631677182e-05,ENSG00000124145
GABRA3,6.036463883241229e-06,ENSG00000011677
LAMC1,6.348420091520357e-05,ENSG00000135862
PDC,1.2283579756678851e-06,ENSG00000116703
MAOA,1.7179243249695512e-05,ENSG00000189221
EPHA8,9.937385216638734e-06,ENSG00000070886
KDR,1.0634856704710003e-05,ENSG00000128052
GABRR2,6.616837200839827e-07,ENSG00000111886
EPHA7,1.496706495038016e-05,ENSG00000135333
ADAM15,4.9455103615914656e-05,ENSG00000143537
ARHGEF6,6.455197573552096e-06,ENSG00000129675
DLG3,4.5388058041745394e-05,ENSG00000082458
UNC5B,2.525017148946528e-06,ENSG00000107731
NEGR1,1.5243135682109792e-06,ENSG00000172260
CSPG4,1.0712955631533404e-05,ENSG00000173546
PPP1R9B,2.9088369001145716e-05,ENSG00000108819
CD101,8.409003603698134e-06,ENSG00000134256
RBM15B,7.469817145585771e-05,ENSG00000259956
SERINC2,7.228510049562673e-05,ENSG00000168528
TENM1,1.300028634081139e-05,ENSG00000009694
ACE2,6.670820699108265e-06,ENSG00000130234
SPTBN5,5.6781491602403654e-06,ENSG00000137877
CACNA1I,6.120045440023956e-06,ENSG00000100346
CNTN3,2.3764503467943434e-06,ENSG00000113805
RFC2,0.0002914195161507185,ENSG00000049541
TNPO2,0.00013297926549152414,ENSG00000105576
HELLS,0.00012076744917541258,ENSG00000119969
NOSIP,0.00018105013726359752,ENSG00000142546
POLR2E,0.000350299220327956,ENSG00000099817
PSMB2,0.00041855904377985907,ENSG00000126067
SLIRP,9.252212351804321e-05,ENSG00000119705
NEDD4L,0.00012995420514436457,ENSG00000049759
RPS19,0.00040680769239864593,ENSG00000105372
SDHB,0.0002822296272518258,ENSG00000117118
SHMT1,0.0002741062510959415,ENSG00000176974
PYCR2,0.0004061531106151505,ENSG00000143811
FMR1,8.626948877710445e-05,ENSG00000102081
ATP5F1D,0.00027487934793648736,ENSG00000099624
TARDBP,0.00017700122005069783,ENSG00000120948
PSMD1,0.00031141616452448476,ENSG00000173692
CHEK1,0.00042362698714448505,ENSG00000149554
UQCRH,8.907441608480327e-05,ENSG00000173660
UQCRC2,0.00016536940056186502,ENSG00000140740
RBM15,9.736687799503151e-05,ENSG00000162775
CSTF1,0.00010676425125767979,ENSG00000101138
DCAF7,0.0001382980209914989,ENSG00000136485
RNF40,0.00021412681169021168,ENSG00000103549
EI24,0.00010942911521960065,ENSG00000149547
AK6,1.591761721992859e-05,ENSG00000085231
ADRM1,0.0002192769807609711,ENSG00000130706
TUBGCP3,0.0018202272447107625,ENSG00000126216
DCAF13,0.00036104450182953483,ENSG00000164934
PCGF3,3.520827622399094e-05,ENSG00000185619
PSMD13,0.00039614870360212576,ENSG00000185627
RPL17,0.00022009743116676328,ENSG00000265681
POLD2,0.0002245631181795009,ENSG00000106628
ZNG1A,9.658614065172064e-05,ENSG00000172785
PTBP1,0.0005504087144899486,ENSG00000011304
GPR89B,4.895820914714297e-05,ENSG00000188092
NSRP1,4.799134183574424e-05,ENSG00000126653
NAT10,0.00034649333301182815,ENSG00000135372
RPS17,0.0004343080323237,ENSG00000182774
VPS45,0.0001712018137333586,ENSG00000136631
CORO1B,0.00023134540501344126,ENSG00000172725
MLH1,0.00024202121545076878,ENSG00000076242
CDK1,0.001600421220142322,ENSG00000170312
RPL18,0.00026325931274096226,ENSG00000063177
CWC25,0.0001520425473321173,ENSG00000273559
FLNA,0.00017769697055350147,ENSG00000196924
EIF5B,0.00013141402120878424,ENSG00000158417
SYMPK,0.00014214220040649893,ENSG00000125755
FDPS,0.00016916471073138365,ENSG00000160752
KHSRP,0.0002090561702953387,ENSG00000088247
MTHFD1L,0.0001202344541599033,ENSG00000120254
NOMO1,8.838881158165009e-05,ENSG00000103512
AATF,0.0002946274572631771,ENSG00000275700
ARIH1,9.60842291944925e-05,ENSG00000166233
PABPC1,0.0002652722046915345,ENSG00000070756
RECQL4,8.043320356913623e-05,ENSG00000160957
GPALPP1,0.0001044253657156984,ENSG00000133114
HNRNPU,0.0006523325425588908,ENSG00000153187
DNAJB14,5.709117192396547e-05,ENSG00000164031
SPCS2,0.00021687423224980013,ENSG00000118363
USP39,0.00024037618080589748,ENSG00000168883
ZBTB8OS,3.5612468395371565e-05,ENSG00000176261
CPSF1,0.00024879143078249463,ENSG00000071894
MBD3,0.001320182080822215,ENSG00000071655
THOC1,0.00019546001548003647,ENSG00000079134
CNDP2,0.00023414962497141363,ENSG00000133313
DNAJA2,0.0002633021050851041,ENSG00000069345
NAA50,0.0001590151720023187,ENSG00000121579
JMJD4,2.310030303962351e-05,ENSG00000081692
NOMO2,9.157359904606136e-05,ENSG00000185164
TAF15,0.00011285311225129937,ENSG00000270647
NSMCE2,2.6479360406612125e-05,ENSG00000156831
CUL3,0.0007772014088071745,ENSG00000036257
PGM3,0.00012392491561270022,ENSG00000013375
GPX1,5.46916953486749e-05,ENSG00000233276
ATAD5,1.4923375072645459e-05,ENSG00000176208
TPM3,6.407060491624412e-05,ENSG00000143549
CLTC,0.0008528740456984828,ENSG00000141367
HSF1,0.00012824220533721979,ENSG00000185122
MYB,3.168456670775619e-05,ENSG00000118513
RAD54L,0.00015682598349673577,ENSG00000085999
DDX50,0.00011722929570882118,ENSG00000107625
PRKACB,0.0003845299011990847,ENSG00000142875
PRKN,2.5066623782588703e-05,ENSG00000185345
MPPE1,7.410693413703895e-05,ENSG00000154889
UHRF1,0.00011574987102076625,ENSG00000276043
ABRAXAS1,8.656485030813756e-06,ENSG00000163322
CHD1L,5.990107973442129e-05,ENSG00000131778
TYW1B,6.454391707781043e-05,ENSG00000277149
NVL,0.0001342247681556093,ENSG00000143748
PDCD6,0.00013586195976315223,ENSG00000249915
KDM6A,7.803275251012873e-05,ENSG00000147050
FKBP1A,0.0002328629726387591,ENSG00000088832
PSMB3,0.0004157498924373013,ENSG00000277791
TP53,0.00012647451314739077,ENSG00000141510
NDUFS7,0.00015107192076404464,ENSG00000115286
TYW1,8.641529019255708e-05,ENSG00000198874
SLC4A1AP,8.781499177184841e-05,ENSG00000163798
VAC14,0.0001331368052846307,ENSG00000103043
METTL2A,9.649256654033748e-05,ENSG00000087995
ELOA,7.189658635862764e-05,ENSG00000011007
BAZ1A,0.00014988500298868002,ENSG00000198604
SELENOT,2.0886170706395034e-05,ENSG00000198843
CHD1,0.00016178265917172436,ENSG00000153922
USP36,9.326754832821382e-05,ENSG00000055483
ZNG1C,7.623909902644498e-05,ENSG00000196873
HM13,0.0001075548205095461,ENSG00000101294
EIF2B4,0.00012519772247385913,ENSG00000115211
SMAP2,5.8229146108931744e-05,ENSG00000084070
UBR1,6.693755304876942e-05,ENSG00000159459
TRAPPC3,0.00011633766238643523,ENSG00000054116
CUL4A,0.00010793364320247545,ENSG00000139842
HDLBP,0.00021763626049369693,ENSG00000115677
POLE,0.00013885240501015523,ENSG00000177084
TAFAZZIN,6.93517542264629e-05,ENSG00000102125
UCHL3,0.0002339096920083505,ENSG00000118939
NDUFAF6,0.00010727863735600632,ENSG00000156170
MYC,7.446224450280066e-05,ENSG00000136997
RPRD1B,0.00011967253660771706,ENSG00000101413
KBTBD4,1.1230410675355592e-05,ENSG00000123444
DDX3X,0.00026446536749668637,ENSG00000215301
AP2B1,0.00028714894574211714,ENSG00000006125
RPL10,0.00022656139726403736,ENSG00000147403
TTI1,0.00010006244794914303,ENSG00000101407
POLA1,0.00029256322056234136,ENSG00000101868
IVD,0.00013333345149965154,ENSG00000128928
EMG1,0.0002733667527422459,ENSG00000126749
ABCB7,0.00010911977936325518,ENSG00000131269
RNF34,2.7114493634130298e-05,ENSG00000170633
GPX4,9.951564188382428e-05,ENSG00000167468
BOP1,0.00034741938200378794,ENSG00000261236
HNRNPA2B1,0.00022885586744113775,ENSG00000122566
EIF2D,0.00017304072658234804,ENSG00000143486
HSPA4,0.00033545732679360964,ENSG00000170606
ZNG1F,8.69819716948602e-05,ENSG00000215126
UBE2C,6.60242368718608e-05,ENSG00000175063
CTNNBL1,0.0003015996536292913,ENSG00000132792
PSME3,0.0001395900677069764,ENSG00000131467
MSH6,0.00030684549469276986,ENSG00000116062
ZC3H14,0.00012891822558539124,ENSG00000100722
ILK,0.00021915733857180738,ENSG00000166333
