Symbol,Score,ENSP
KIF11,0.00022043214423973033,9606.ENSP00000260731
KIF20B,0.0001105518591478606,9606.ENSP00000260753
EXOC6,5.52337257774806e-05,9606.ENSP00000260762
METTL5,1.1268633416361343e-05,9606.ENSP00000260953
CDK15,0.00022001169027211455,9606.ENSP00000260967
GUCA1C,5.451208442410065e-05,9606.ENSP00000261047
GUCY2C,8.229918247601807e-05,9606.ENSP00000261170
EPYC,6.156593513729205e-05,9606.ENSP00000261172
OSBPL8,2.9646600169593304e-05,9606.ENSP00000261183
CDK17,0.00022834874863767926,9606.ENSP00000261211
IRAK3,0.00011226077625324015,9606.ENSP00000261233
RAB21,1.6432194854788173e-05,9606.ENSP00000261263
ZNF24,5.61002457850066e-05,9606.ENSP00000261332
YPEL5,2.2250411397491965e-05,9606.ENSP00000261353
CORO1C,7.209916900592055e-05,9606.ENSP00000261401
PPP2R5A,5.8288660489205634e-05,9606.ENSP00000261461
PSMA6,8.759256393937675e-05,9606.ENSP00000261479
MAN2A1,2.2406453405537838e-05,9606.ENSP00000261483
MSMO1,3.0426906229226053e-05,9606.ENSP00000261507
SNW1,0.00011734281045764394,9606.ENSP00000261531
AP5M1,4.8923224801136194e-05,9606.ENSP00000261558
ARL1,9.881578506526205e-05,9606.ENSP00000261636
AP3B2,4.079322588931982e-05,9606.ENSP00000261722
CDH1,0.0002169186000005031,9606.ENSP00000261769
PDGFRB,0.00020033380456932636,9606.ENSP00000261799
MYO5C,0.0001531937940385478,9606.ENSP00000261839
AP4E1,3.3870449149745146e-05,9606.ENSP00000261842
MAPK6,0.00039296481591695085,9606.ENSP00000261845
RAB11A,0.00020573815852651775,9606.ENSP00000261890
FLT4,0.0001171902297777299,9606.ENSP00000261937
CNOT6,0.0001291872657280374,9606.ENSP00000261951
PIK3C3,0.00011102274588789089,9606.ENSP00000262039
COPZ1,3.648901933626084e-05,9606.ENSP00000262061
TSPAN13,7.741427183828451e-06,9606.ENSP00000262067
ZDHHC2,2.364997276291897e-05,9606.ENSP00000262096
ARFGEF1,4.8397087358455e-05,9606.ENSP00000262215
TMED2,3.167363337239206e-05,9606.ENSP00000262225
PKD1,5.910163785632614e-05,9606.ENSP00000262304
